date,expenditure
2/7/2022,5730
2/14/2022,7547
2/21/2022,7069
2/28/2022,5296
3/7/2022,8187
3/14/2022,8962
3/21/2022,5876
3/28/2022,8218
4/4/2022,7580
4/11/2022,8257
4/18/2022,5146
4/25/2022,5918
5/2/2022,6476
5/9/2022,8021
5/16/2022,9013
5/23/2022,6093
5/30/2022,8307
6/6/2022,5760
6/13/2022,8113
6/20/2022,9102
6/27/2022,6709
7/4/2022,3425
7/11/2022,4657
7/18/2022,4077
7/25/2022,3320
8/1/2022,4523
8/8/2022,3375
8/15/2022,4409
8/22/2022,4129
8/29/2022,4229
9/5/2022,4471
9/12/2022,4183
9/19/2022,4693
9/26/2022,4742
10/3/2022,4925
10/10/2022,4184
10/17/2022,3868
10/24/2022,3641
10/31/2022,4152
11/7/2022,3306
11/14/2022,4020
11/21/2022,3316
11/28/2022,4606
12/5/2022,4982
12/12/2022,3367
12/19/2022,4519
12/26/2022,4584
1/2/2023,1417
1/9/2023,1121
1/16/2023,1139
1/23/2023,1211
1/30/2023,1155
2/6/2023,1985
2/13/2023,1036
2/20/2023,1945
2/27/2023,1586
3/6/2023,1246
3/13/2023,1147
3/20/2023,1467
3/27/2023,1120
4/3/2023,1958
4/10/2023,1238
4/17/2023,1503
4/24/2023,1516
5/1/2023,1220
5/8/2023,1668
5/15/2023,1087
5/22/2023,1279
5/29/2023,1189
6/5/2023,1118
6/12/2023,1666
6/19/2023,1457
6/26/2023,1273
7/3/2023,1468
7/10/2023,1270
7/17/2023,1047
7/24/2023,1271
7/31/2023,1160
8/7/2023,1287
8/14/2023,1225
8/21/2023,1257
8/28/2023,1175
9/4/2023,1153
9/11/2023,1328
9/18/2023,1001
9/25/2023,1327
10/2/2023,1261
10/9/2023,1398
10/16/2023,1240
10/23/2023,1498
10/30/2023,1259
11/6/2023,1181
11/13/2023,1165
11/20/2023,1019
11/27/2023,1126
12/4/2023,1189
12/11/2023,1095
12/18/2023,1353
12/25/2023,1153
1/1/2024,1500
1/8/2024,1724
1/15/2024,1886
1/22/2024,1489
1/29/2024,1034
2/5/2024,1281
2/12/2024,1706
2/19/2024,1283
2/26/2024,1165
3/4/2024,1757
3/11/2024,1194
3/18/2024,1106
3/25/2024,1977
4/1/2024,1612
4/8/2024,1594
4/15/2024,1328
4/22/2024,1643
4/29/2024,1368
5/6/2024,1876
5/13/2024,1359
5/20/2024,1091
5/27/2024,1913
6/3/2024,1193
6/10/2024,1544
6/17/2024,1133
6/24/2024,1295
7/1/2024,809
7/8/2024,861
7/15/2024,509
7/22/2024,850
7/29/2024,544
8/5/2024,747
8/12/2024,635
8/19/2024,904
8/26/2024,859
9/2/2024,620
9/9/2024,864
9/16/2024,973
9/23/2024,830
9/30/2024,820
10/7/2024,688
10/14/2024,839
10/21/2024,750
10/28/2024,938
11/4/2024,690
11/11/2024,730
11/18/2024,750
11/25/2024,571
12/2/2024,798
12/9/2024,603
12/16/2024,905
12/23/2024,519
12/30/2024,972
