id,gender,platform_engagement
1704,Other,98.66
9045,Male,98.08
1665,Other,20.47
5128,Other,47.77
1733,Female,32.84
9691,Female,32.28
8293,Male,39.03
2285,Male,62.37
5356,Female,13.97
8206,Female,72.71
6445,Female,17.26
1594,Other,93.35
5283,Male,27.42
7408,Other,4.57
2005,Female,28.42
7859,Other,46.99
7034,Other,2.94
7199,Other,14.08
7344,Other,86.49
6545,Other,91.06
8480,Male,33.51
7275,Male,95.58
5505,Female,61.87
7685,Other,33
6781,Other,82.73
9807,Female,84.2
5035,Male,49.26
7481,Male,75.89
5925,Male,95.1
6975,Male,30.79
7291,Male,48.48
3849,Male,57.29
6280,Other,12.46
2212,Female,94.44
1710,Other,84.34
2420,Female,29.33
1414,Female,82.77
8858,Male,38.54
1478,Male,13.48
7746,Male,31.82
8062,Male,67.85
4756,Female,68.63
7908,Other,23.03
6595,Other,73.48
5234,Other,90.76
3301,Female,30.35
3751,Female,91.67
2761,Other,54.4
7358,Female,65.27
9279,Male,98.47
6647,Other,6.7
3877,Male,96.28
9141,Male,65.3
4487,Female,42.38
4800,Female,47.79
8300,Other,48.21
3344,Female,10.07
5893,Other,58.92
1868,Female,81.41
5898,Female,61.6
6161,Male,22.26
8223,Male,37.25
7281,Female,32.78
7203,Male,13.32
4738,Other,51.81
2512,Other,63.06
7024,Other,50.28
3177,Female,6.51
8168,Male,89.37
6233,Female,12.92
6358,Male,55.07
8366,Other,34.85
3206,Male,14.3
3338,Other,56.97
5762,Male,51.55
5383,Female,1.72
6261,Male,67.7
9726,Male,75.6
4896,Male,66.54
4547,Male,6.82
1369,Male,0.58
4770,Male,79.54
2791,Male,13.78
4505,Female,18.72
7733,Male,30.74
2120,Other,17.97
2650,Male,57.33
4101,Female,86.33
1020,Male,89.76
3826,Male,74.32
2187,Male,67.67
3580,Female,8.2
7842,Male,22.48
3977,Male,63.39
2030,Other,61.86
6124,Female,63.82
8589,Male,76.55
9121,Male,84.01
5189,Other,59.71
3180,Male,24.59
1554,Female,44.28
4600,Male,6.7
2338,Female,24.33
2993,Female,64.88
1925,Female,99.32
8401,Male,4.22
7103,Other,57.22
6627,Female,16.36
4015,Other,65.1
6279,Other,78.33
4383,Male,42.71
3142,Female,23.83
6193,Male,99.22
5280,Female,64.09
6236,Other,79.04
2559,Male,16.71
3976,Female,45.73
3491,Male,6.63
3734,Female,92.85
5127,Female,90.67
1643,Male,82.38
1938,Other,33.84
4905,Female,29.81
9452,Female,17.81
3758,Female,81.54
6954,Female,58.11
2787,Female,4.91
8298,Male,45.42
6952,Other,30.56
8639,Male,19.46
1622,Female,22.73
1114,Other,39.76
6095,Other,69.83
2165,Male,28.9
2804,Male,50.03
1195,Other,34.1
6953,Female,70.87
5909,Other,48.81
2633,Male,35.65
3101,Male,58.28
3852,Male,40.15
5845,Male,6.65
1616,Female,94.32
9481,Male,28.72
9053,Male,94.39
7889,Male,47.88
6933,Male,58.18
3329,Female,26.14
1681,Other,99.4
1534,Other,36.37
9683,Male,16.63
5544,Female,96.32
3866,Other,77.51
5789,Male,68.88
7587,Male,41.15
5140,Female,48.12
7305,Female,13.94
6925,Female,60.71
4407,Female,74.99
6353,Other,0.71
1647,Other,68.46
4664,Male,59.67
5507,Female,67.56
8383,Other,61.54
3795,Male,78.77
8893,Other,99.98
8151,Other,53.4
8165,Female,84.34
4613,Female,63.63
4947,Male,26.57
5030,Other,97.52
5686,Male,78.04
6500,Male,65.14
2949,Male,67.71
8767,Male,11.96
3270,Other,67.11
8350,Other,93.59
6402,Male,37.41
5834,Male,34.72
7519,Female,93.88
1555,Female,25.11
1855,Other,97.17
3368,Female,91.01
8283,Other,3.91
5365,Female,68.52
3337,Other,45.19
5321,Male,24.44
7076,Male,14.52
1082,Male,15.64
9590,Other,34.91
4083,Male,74.78
2545,Other,14.03
6144,Male,91.49
7862,Female,89.62
1763,Female,92.37
5803,Male,0.59
8922,Male,85.34
1483,Female,43.93
7544,Male,14.25
9661,Male,95.26
1116,Female,48.27
1397,Other,74.91
6551,Male,61.64
2755,Male,40.22
7430,Male,10.59
6784,Female,12.77
6428,Male,41.78
8262,Male,61.97
8188,Female,13.38
4562,Male,35
3383,Female,66.35
3941,Male,32.56
2210,Other,14.89
6060,Female,88.89
4551,Other,20.75
1703,Male,12.2
4372,Female,94.74
9385,Other,74.97
3043,Other,30.17
1381,Male,21.63
2686,Male,92.61
5796,Male,31.34
7050,Other,8.33
8646,Female,33.3
6290,Male,32.42
8727,Female,35.53
3141,Male,65.72
3862,Male,27.5
3655,Other,83.57
1347,Other,65.71
7900,Male,29.23
4689,Male,62.18
3153,Female,95.37
8413,Other,63.66
9214,Female,56.91
5744,Female,67.89
4834,Female,4.4
8440,Other,36.12
4533,Female,95.48
2034,Female,59.32
2608,Other,5.67
4685,Other,7.6
8496,Male,76.62
1765,Male,39.17
8660,Female,12.89
7257,Other,81.22
2849,Male,68.96
1402,Male,90.44
4318,Male,89.91
8608,Other,44.24
7414,Female,50.79
4102,Female,3.3
8715,Male,65.62
1932,Female,26.41
9858,Other,95.9
9507,Female,69.54
8686,Female,71.31
8378,Female,37.77
7635,Other,58.04
7789,Female,67.55
9388,Male,47.06
4002,Female,43.88
1006,Female,27.02
8841,Male,14.19
4922,Female,53.84
4475,Male,15.99
7266,Female,80.25
8035,Female,72.04
4098,Male,100
3068,Other,27.21
6469,Female,50.77
7211,Other,22.27
5303,Female,90.6
7468,Male,14.1
4588,Female,0.28
9093,Male,21.67
3950,Male,22.13
8950,Female,22.33
2547,Male,60.85
7541,Other,75.72
9277,Male,91.23
4051,Male,96.74
7858,Other,18.99
8565,Female,39.95
1008,Female,39.75
6797,Male,18.25
4780,Other,53.92
6321,Other,40.72
7543,Male,92.02
8344,Other,66.08
7865,Male,70.79
3552,Male,99.75
3456,Male,27.03
1956,Male,92
4601,Male,31.46
7662,Other,71.68
2230,Other,86.55
4279,Female,79.96
8408,Female,7.74
2193,Male,36.3
7542,Male,69.13
7598,Female,43.62
1489,Male,32.35
3306,Male,95.74
6666,Female,89.41
6561,Other,49.79
8961,Male,17.02
7752,Female,7.27
3387,Female,22.84
5261,Male,5.24
1673,Other,76.34
8508,Other,50.97
6128,Male,80.74
3700,Male,84.14
9697,Male,16.28
7112,Female,58.44
5980,Female,5.94
9364,Female,3.21
3573,Female,59.52
5810,Female,47.4
7652,Other,58.09
1261,Female,81.3
1812,Female,79.46
7513,Male,88.83
5678,Other,81.87
2747,Other,96.02
1094,Female,6.93
4969,Female,72.35
6748,Male,78.04
1216,Male,91.25
1895,Female,15.13
1865,Other,23.97
3111,Other,34.44
4879,Other,2.91
3542,Female,6.54
8717,Male,86.18
1059,Other,93.42
8373,Female,25.42
5209,Other,24.95
9196,Male,67.67
6961,Other,78.9
2204,Other,99.31
1943,Female,51.38
8743,Male,86.37
1146,Male,83.98
5536,Female,55.47
3321,Other,1.76
6936,Other,79.23
3053,Female,92.34
9628,Male,91.89
8934,Female,94.32
9709,Male,67.02
5385,Female,39.9
3615,Other,51.78
3646,Other,88.29
1980,Male,35.4
9228,Male,74.98
4249,Other,93.48
4339,Other,32.53
2322,Other,75.09
5962,Other,80.89
7784,Female,40.16
4066,Other,32.13
8066,Male,23.19
4514,Female,99.45
8460,Female,34.04
5802,Male,2.62
4688,Male,1.24
7533,Other,17.51
7769,Male,76.76
8428,Other,90.67
2950,Male,5.19
7101,Male,40.77
3611,Male,84.45
1390,Male,41.65
5165,Other,75.51
8312,Male,8.96
4459,Other,16.48
1902,Female,51.35
8740,Female,8.81
6215,Other,54.98
4415,Male,53.44
3209,Female,91.24
4610,Female,93.96
9169,Male,3.67
2474,Male,29.45
8248,Female,3.98
6455,Male,69.61
3434,Male,12.32
6726,Male,53.18
7928,Other,90.81
3016,Male,3.75
4674,Female,47.06
7710,Other,88.32
9793,Other,20.32
5562,Other,86.62
7209,Female,4.26
5080,Female,85.07
2873,Male,81.73
1524,Other,36.66
6533,Female,23.38
4555,Male,37.55
3462,Female,49.85
7184,Male,60.11
8537,Other,16.7
5552,Male,15.95
5041,Female,63.66
4035,Other,95.37
7802,Other,36.76
9189,Female,74.66
4549,Female,85.55
5036,Male,81.55
7525,Female,95.92
5129,Male,57.42
9469,Male,93.63
3664,Male,93.87
4946,Male,40.07
5781,Male,99.76
6079,Female,11.91
4999,Other,1.88
5299,Male,0.85
2228,Other,57.63
4773,Male,62.86
7694,Other,85.96
5276,Male,7.29
8196,Male,60.21
9543,Female,25.87
1737,Female,4.08
7608,Male,41.08
4767,Female,83.33
9161,Other,74.43
4811,Other,32.69
8825,Female,96.76
3893,Female,71.29
2271,Male,33.11
2538,Male,67.52
6337,Female,35.53
5104,Female,6.7
7560,Male,16.53
1726,Other,54.65
3630,Other,74.84
7704,Male,98.07
5912,Other,48.33
6986,Female,16.83
5136,Male,94.62
9878,Male,38.3
8094,Male,8.5
1640,Female,35.67
2036,Other,49.32
5205,Male,95.92
9845,Other,57.25
8295,Male,72.13
2609,Male,56.58
2402,Other,3.46
2189,Female,81.33
8039,Other,74.35
7033,Female,91.74
6631,Other,98.99
4753,Female,53.84
1028,Other,97.79
3735,Other,82.49
5144,Female,12.49
6194,Other,33.3
1645,Female,27.3
5579,Other,51.78
3744,Other,18.57
8696,Other,74.96
1437,Female,86.32
6815,Female,83.85
1279,Female,9.21
2703,Other,17.32
7817,Male,47.59
4312,Other,28.04
8654,Female,55.33
8959,Female,81.09
7758,Other,4.45
8538,Other,98.7
1595,Male,61.17
4358,Female,83.77
2072,Male,92.97
8568,Other,18.6
6583,Other,38.91
7898,Female,61.91
6770,Other,78.25
6525,Female,33.51
7522,Male,92.38
5363,Male,45.42
9139,Male,48.72
7727,Female,10.3
1800,Male,15.13
4511,Other,8.05
4256,Other,66.42
8867,Male,54.26
6945,Other,88.14
1199,Female,72.84
4625,Other,68.71
9589,Female,45.42
6098,Female,70.87
7679,Female,67.24
9431,Female,48.74
1159,Other,59.89
9322,Other,69.14
8523,Other,75.12
3418,Other,82.98
1557,Other,62.28
5275,Female,20.44
7021,Male,14.38
3382,Other,16.04
8179,Other,43.03
4060,Other,14.82
2665,Male,25.27
7015,Other,73.4
7122,Male,39.81
5639,Male,42.78
7844,Other,22.58
2832,Other,99.24
3054,Male,4.73
2498,Other,33.2
3264,Male,56.52
2299,Other,98.89
7397,Male,93.56
3228,Female,27.13
5398,Male,86.22
9926,Other,9.72
2114,Female,48.15
8469,Male,69.14
5372,Female,95.99
2272,Female,12.36
6766,Male,24.82
5286,Other,35.01
4152,Other,10.23
3223,Female,31.97
9205,Other,80.3
9184,Male,5.63
4078,Other,62.72
7242,Female,98.14
3266,Female,91.29
5695,Male,21.6
3145,Male,78.05
6154,Other,86.8
2490,Other,11.3
6410,Female,37.05
6389,Other,0.84
9318,Other,21.85
6434,Other,10.96
9521,Other,93.54
6946,Female,26.16
2079,Female,26.14
2359,Male,34.09
1755,Other,56.26
3255,Other,82.48
3144,Female,97.32
6670,Other,10.1
5339,Female,14.41
3731,Other,97.38
6242,Female,82.1
3623,Male,19.66
2931,Male,60.93
7703,Female,7.14
6136,Other,47.48
