booking_id,feedback_date,feedback_score,comments
1,2022-04-25 04:00:00,5.0,pxqw
2,2022-07-21 06:00:00,9.0,kogw
3,2022-02-21 04:00:00,5.0,ncyl
4,2022-04-14 19:00:00,10.0,fbme
5,2022-06-08 20:00:00,9.0,wznn
6,2022-02-21 08:00:00,8.0,tcwt
7,2022-03-26 23:00:00,6.0,tbqz
8,2022-06-27 05:00:00,10.0,ouyd
9,2022-04-12 21:00:00,5.0,dnvc
10,2022-10-22 14:00:00,7.0,ozta
11,2022-05-25 08:00:00,10.0,mvhm
12,2022-05-07 16:00:00,5.0,tpps
13,2022-04-15 17:00:00,8.0,zlxt
14,2022-05-08 00:00:00,7.0,whog
15,2022-03-30 04:00:00,3.0,dmro
16,2022-03-04 09:00:00,8.0,omyl
17,2022-03-01 10:00:00,4.0,dgpk
18,2022-05-29 23:00:00,5.0,nahh
19,2022-04-17 22:00:00,4.0,ysxm
20,2022-09-10 20:00:00,6.0,hzpv
21,2022-03-07 04:00:00,6.0,xyug
22,2022-05-04 04:00:00,4.0,ntnj
23,2022-05-04 20:00:00,4.0,hhvx
24,2022-03-26 13:00:00,7.0,fhvy
25,2022-04-22 22:00:00,7.0,ctdo
26,2022-09-11 18:00:00,7.0,etjr
27,2022-05-05 21:00:00,7.0,adaz
28,2022-02-26 03:00:00,3.0,tcqy
29,2022-06-09 17:00:00,10.0,exm
30,2022-04-03 20:00:00,9.0,boas
31,2022-05-04 23:00:00,4.0,vlgo
32,2022-04-25 01:00:00,2.0,loai
33,2022-06-24 10:00:00,4.0,lhhk
34,2022-06-25 08:00:00,10.0,umei
35,2022-08-30 16:00:00,8.0,bsrs
36,2022-03-25 18:00:00,8.0,pasx
37,2022-05-01 09:00:00,5.0,eowe
38,2022-10-08 16:00:00,6.0,ybys
39,2022-02-28 02:00:00,9.0,opex
40,2022-07-28 12:00:00,8.0,nngy
41,2022-05-13 02:00:00,9.0,sngq
42,2022-02-28 05:00:00,8.0,ygho
43,2022-09-02 08:00:00,3.0,peuq
44,2022-05-20 06:00:00,2.0,ohvy
45,2022-04-23 00:00:00,6.0,lzgj
46,2022-06-26 17:00:00,6.0,acyk
47,2022-03-15 15:00:00,6.0,efee
48,2022-04-20 01:00:00,9.0,tgyt
49,2022-03-07 21:00:00,9.0,yoz
50,2022-05-16 00:00:00,10.0,yhnb
51,2022-04-16 01:00:00,8.0,ytqt
52,2022-05-13 18:00:00,7.0,qcph
53,2022-07-12 20:00:00,3.0,zbcu
54,2022-03-28 15:00:00,8.0,ezih
55,2022-03-02 17:00:00,10.0,ejeo
56,2022-06-06 06:00:00,6.0,pvkb
57,2022-03-27 22:00:00,2.0,cwtu
58,2022-03-21 08:00:00,5.0,rhwo
59,2022-06-15 14:00:00,4.0,bsrs
60,2022-04-28 05:00:00,3.0,xigl
61,2022-04-03 08:00:00,8.0,gatb
62,2022-04-15 03:00:00,5.0,nzbv
63,2022-06-19 23:00:00,2.0,mcmc
64,2022-05-02 14:00:00,6.0,sngw
65,2022-05-16 13:00:00,9.0,hhvx
66,2022-05-13 05:00:00,9.0,cpff
67,2022-09-26 03:00:00,2.0,judc
68,2022-03-29 16:00:00,8.0,occh
69,2022-03-17 14:00:00,6.0,equl
70,2022-03-21 05:00:00,10.0,ltco
71,2022-02-21 16:00:00,9.0,izcb
72,2022-09-23 15:00:00,4.0,bnru
73,2022-04-12 12:00:00,9.0,wxlc
74,2022-09-05 13:00:00,5.0,tkfh
75,2022-05-02 09:00:00,4.0,fefv
76,2022-07-05 07:00:00,7.0,etvy
77,2022-04-05 10:00:00,10.0,ezhp
78,2022-05-16 19:00:00,8.0,enwe
79,2022-08-04 17:00:00,2.0,nugs
80,2022-04-15 04:00:00,6.0,wusb
81,2022-03-16 09:00:00,5.0,ybtz
82,2022-03-20 22:00:00,9.0,wqfx
83,2022-04-05 20:00:00,4.0,veyx
84,2022-05-13 15:00:00,5.0,hkkj
85,2022-08-05 14:00:00,4.0,tojz
86,2022-07-04 23:00:00,4.0,zqot
87,2022-05-02 16:00:00,5.0,hbxn
88,2022-08-08 21:00:00,2.0,xbuc
89,2022-05-04 23:00:00,8.0,fvav
90,2022-04-01 22:00:00,10.0,cgxb
91,2022-07-17 14:00:00,4.0,udot
92,2022-03-03 18:00:00,5.0,vmep
93,2022-02-23 12:00:00,7.0,bzcp
94,2022-03-30 15:00:00,5.0,vbch
95,2022-04-18 15:00:00,9.0,iavv
96,2022-04-22 13:00:00,8.0,qhvh
97,2022-03-24 19:00:00,6.0,ntnj
98,2022-05-06 06:00:00,8.0,gzz
99,2022-05-10 08:00:00,4.0,puhl
100,2022-05-18 01:00:00,3.0,oaur
101,2022-04-26 08:00:00,5.0,xyug
102,2022-08-20 10:00:00,7.0,mhl
103,2022-07-16 14:00:00,7.0,kpia
104,2022-05-17 06:00:00,7.0,ntsq
105,2022-04-10 08:00:00,10.0,ouhe
106,2022-04-22 21:00:00,7.0,rlxc
107,2022-06-27 09:00:00,2.0,btdn
108,2022-05-06 23:00:00,9.0,yarg
109,2022-04-25 01:00:00,10.0,rqdc
110,2022-07-17 05:00:00,3.0,memc
111,2022-06-14 16:00:00,7.0,ipzv
112,2022-02-13 20:00:00,9.0,udyb
113,2022-04-07 06:00:00,4.0,mqhw
114,2022-03-12 14:00:00,3.0,fsyg
115,2022-07-11 17:00:00,4.0,wxlc
116,2022-03-03 19:00:00,3.0,scof
117,2022-05-14 08:00:00,4.0,rnbt
118,2022-09-25 10:00:00,3.0,enwe
119,2022-03-22 19:00:00,7.0,oxis
120,2022-07-01 05:00:00,7.0,ewxw
121,2022-05-11 20:00:00,4.0,ikqz
122,2022-05-24 17:00:00,5.0,wrv
123,2022-06-27 13:00:00,8.0,exoy
124,2022-02-21 01:00:00,8.0,ycdd
125,2022-08-31 08:00:00,8.0,ahka
126,2022-06-18 23:00:00,9.0,twur
127,2022-04-21 11:00:00,9.0,dbvl
128,2022-08-24 23:00:00,3.0,mfpv
129,2022-04-30 01:00:00,3.0,ewcd
130,2022-02-08 19:00:00,6.0,qphr
131,2022-05-06 17:00:00,4.0,uhvo
132,2022-04-15 21:00:00,10.0,avxp
133,2022-05-07 19:00:00,6.0,ltco
134,2022-04-24 22:00:00,3.0,ccvu
135,2022-07-29 16:00:00,5.0,fbme
136,2022-05-01 16:00:00,8.0,zeja
137,2022-06-21 09:00:00,6.0,vvdy
138,2022-03-24 07:00:00,4.0,tgfs
139,2022-05-25 21:00:00,10.0,xwnk
140,2022-05-15 02:00:00,3.0,qeqw
141,2022-04-22 06:00:00,8.0,xisz
142,2022-10-16 09:00:00,3.0,eppx
143,2022-03-02 13:00:00,10.0,xjzs
