booking_id,destination_id,booking_date,travel_start_date,travel_end_date,price_per_person,total_price,duration_hrs,no_of_participants
1,17,4/6/2022,4/25/2022,4/25/2022,340.462,1702.31,7,5
6,1,2/6/2022,2/21/2022,2/21/2022,1636.36,1636.36,2,1
9,25,3/21/2022,4/10/2022,4/10/2022,1513.93,1513.93,10,1
13,8,3/25/2022,4/13/2022,4/13/2022,236.23,236.23,7,1
14,17,4/20/2022,5/7/2022,5/7/2022,910.03,910.03,10,1
15,28,3/13/2022,3/30/2022,3/30/2022,916.94,916.94,4,1
16,8,2/12/2022,3/2/2022,3/2/2022,1443.73,1443.73,6,1
17,17,2/10/2022,3/1/2022,3/1/2022,400.415,800.83,7,2
21,13,2/16/2022,3/6/2022,3/6/2022,631.74,631.74,1,1
22,18,4/15/2022,5/4/2022,5/4/2022,242.2683333,1453.61,7,6
25,18,4/4/2022,4/21/2022,4/21/2022,116.59,116.59,11,1
39,17,2/10/2022,2/28/2022,2/28/2022,303.94,303.94,4,1
51,14,3/25/2022,4/14/2022,4/14/2022,349.172,1745.86,8,5
61,18,3/15/2022,4/3/2022,4/3/2022,133.8985714,937.29,5,7
65,5,4/28/2022,5/14/2022,5/14/2022,315.9383333,1895.63,8,6
66,29,4/25/2022,5/11/2022,5/11/2022,1753.96,1753.96,10,1
69,24,2/28/2022,3/17/2022,3/17/2022,21.67714286,151.74,3,7
77,7,3/21/2022,4/5/2022,4/5/2022,709.87,1419.74,11,2
78,3,4/26/2022,5/15/2022,5/15/2022,407.78,407.78,12,1
89,15,4/19/2022,5/4/2022,5/4/2022,510.33,1020.66,9,2
92,14,2/10/2022,3/1/2022,3/1/2022,162.9333333,488.8,6,3
93,18,2/7/2022,2/22/2022,2/22/2022,193.9875,775.95,10,4
94,2,3/12/2022,3/28/2022,3/28/2022,368.17,368.17,2,1
96,29,4/7/2022,4/22/2022,4/22/2022,1366.36,1366.36,2,1
98,12,4/19/2022,5/6/2022,5/6/2022,780.53,780.53,2,1
104,21,4/25/2022,5/15/2022,5/15/2022,196.8525,1574.82,5,8
106,10,4/6/2022,4/22/2022,4/22/2022,1154.86,1154.86,11,1
113,4,3/22/2022,4/7/2022,4/7/2022,587.38,587.38,2,1
116,1,2/12/2022,3/1/2022,3/1/2022,81.38428571,569.69,7,7
133,30,4/15/2022,5/5/2022,5/5/2022,184.9,924.5,1,5
141,29,4/3/2022,4/22/2022,4/22/2022,336.77,336.77,4,1
143,23,2/12/2022,2/28/2022,2/28/2022,315.475,1261.9,8,4
151,25,3/25/2022,4/11/2022,4/11/2022,930.55,930.55,11,1
157,9,3/7/2022,3/26/2022,3/26/2022,1106.75,1106.75,5,1
160,17,4/25/2022,5/14/2022,5/14/2022,210.875,1687,6,8
162,22,3/3/2022,3/18/2022,3/18/2022,201.61,604.83,12,3
173,1,4/28/2022,5/17/2022,5/17/2022,185.02375,1480.19,5,8
177,29,3/11/2022,3/31/2022,3/31/2022,1791.43,1791.43,3,1
179,26,2/27/2022,3/14/2022,3/14/2022,1799.2,1799.2,6,1
180,18,2/21/2022,3/8/2022,3/8/2022,990.52,990.52,4,1
182,4,4/22/2022,5/8/2022,5/8/2022,577.35,577.35,2,1
185,13,2/3/2022,2/21/2022,2/21/2022,155.23,155.23,3,1
189,4,3/27/2022,4/14/2022,4/14/2022,556.12,1112.24,1,2
194,18,2/15/2022,3/4/2022,3/4/2022,644.365,1288.73,2,2
198,4,4/30/2022,5/20/2022,5/20/2022,93.35,186.7,8,2
205,9,4/5/2022,4/21/2022,4/21/2022,156.0266667,936.16,6,6
206,7,4/7/2022,4/24/2022,4/24/2022,152.96,917.76,10,6
207,7,4/28/2022,5/15/2022,5/15/2022,204.7975,1638.38,11,8
211,17,4/28/2022,5/16/2022,5/16/2022,161.2666667,483.8,9,3
212,17,2/13/2022,3/1/2022,3/1/2022,280.345,560.69,7,2
215,15,3/31/2022,4/20/2022,4/20/2022,1832.31,1832.31,8,1
221,30,3/5/2022,3/24/2022,3/24/2022,1740.55,1740.55,11,1
224,28,3/17/2022,4/6/2022,4/6/2022,106.09,212.18,2,2
226,2,2/24/2022,3/16/2022,3/16/2022,100.81,100.81,6,1
227,20,4/16/2022,5/2/2022,5/2/2022,361.04,361.04,2,1
233,19,4/17/2022,5/6/2022,5/6/2022,1140.27,1140.27,8,1
234,1,3/19/2022,4/7/2022,4/7/2022,1414.08,1414.08,9,1
249,9,4/3/2022,4/18/2022,4/18/2022,1950.36,1950.36,1,1
256,2,2/16/2022,3/8/2022,3/8/2022,1274.5,1274.5,6,1
259,5,4/3/2022,4/22/2022,4/22/2022,122.865,491.46,6,4
264,13,3/26/2022,4/12/2022,4/12/2022,155.58,155.58,9,1
273,29,2/6/2022,2/22/2022,2/22/2022,179.0271429,1253.19,6,7
276,16,4/30/2022,5/15/2022,5/15/2022,475.905,951.81,9,2
277,28,4/3/2022,4/19/2022,4/19/2022,321.09,321.09,7,1
283,16,3/14/2022,4/1/2022,4/1/2022,77.56285714,542.94,6,7
291,30,3/20/2022,4/5/2022,4/5/2022,292.326,1461.63,6,5
294,9,2/21/2022,3/12/2022,3/12/2022,735.78,735.78,1,1
295,25,2/8/2022,2/27/2022,2/27/2022,205.43,205.43,12,1
305,7,3/19/2022,4/4/2022,4/4/2022,189.054,945.27,1,5
311,6,3/22/2022,4/8/2022,4/8/2022,918.75,918.75,6,1
315,29,3/11/2022,3/30/2022,3/30/2022,1723.38,1723.38,10,1
325,27,3/26/2022,4/12/2022,4/12/2022,635.18,635.18,6,1
327,3,3/8/2022,3/26/2022,3/26/2022,171.64,858.2,9,5
331,28,3/25/2022,4/13/2022,4/13/2022,434.1833333,1302.55,10,3
341,2,4/11/2022,4/28/2022,4/28/2022,250.1775,1000.71,10,4
343,4,2/16/2022,3/8/2022,3/8/2022,1119.03,1119.03,2,1
348,14,3/15/2022,4/1/2022,4/1/2022,578.82,578.82,3,1
350,28,4/1/2022,4/21/2022,4/21/2022,1240.66,1240.66,9,1
356,27,3/26/2022,4/11/2022,4/11/2022,30.25,242,9,8
361,17,2/18/2022,3/7/2022,3/7/2022,408.76,408.76,3,1
364,24,3/3/2022,3/18/2022,3/18/2022,235.11,235.11,4,1
365,7,3/4/2022,3/21/2022,3/21/2022,879.525,1759.05,10,2
370,11,2/2/2022,2/19/2022,2/19/2022,440.51,440.51,5,1
372,15,4/22/2022,5/10/2022,5/10/2022,160.7066667,964.24,6,6
375,16,2/8/2022,2/27/2022,2/27/2022,213.4025,1707.22,3,8
385,14,2/27/2022,3/17/2022,3/17/2022,157.06,157.06,4,1
390,13,4/14/2022,5/1/2022,5/1/2022,59.235,236.94,4,4
394,1,3/10/2022,3/26/2022,3/26/2022,227.8133333,683.44,1,3
401,13,2/13/2022,3/1/2022,3/1/2022,921.76,921.76,4,1
402,30,4/28/2022,5/17/2022,5/17/2022,284.362,1421.81,6,5
404,19,3/20/2022,4/9/2022,4/9/2022,143.6871429,1005.81,5,7
405,25,4/14/2022,5/3/2022,5/3/2022,1204.93,1204.93,4,1
413,2,3/9/2022,3/29/2022,3/29/2022,13.93875,111.51,4,8
414,4,3/7/2022,3/23/2022,3/23/2022,323.5183333,1941.11,1,6
417,22,2/10/2022,3/2/2022,3/2/2022,59.58,417.06,3,7
419,14,4/11/2022,5/1/2022,5/1/2022,823.06,1646.12,7,2
422,22,4/4/2022,4/23/2022,4/23/2022,1546.77,1546.77,3,1
425,13,3/23/2022,4/12/2022,4/12/2022,322.598,1612.99,8,5
