Week_Start_Date,Total_Revenue,Cumulative_Revenue,Avg_Last_3_Revenue
2022-02-07,219962.61,219962.61,219962.61
2022-02-14,171704.09,391666.69999999995,195833.34999999998
2022-02-21,124336.56,516003.25999999995,172001.08666666667
2022-02-28,75966.72,591969.98,124002.45666666667
2022-03-07,240141.38,832111.36,146814.8866666667
2022-03-14,116568.57,948679.9299999999,144225.55666666667
2022-03-21,239597.63,1188277.56,198769.19333333336
2022-03-28,227478.13,1415755.69,194548.11000000002
2022-04-04,171697.8,1587453.49,212924.52
2022-04-11,198983.16,1786436.65,199386.3633333333
2022-04-18,269121.06,2055557.71,213267.34
2022-04-25,187868.7,2243426.41,218657.64
2022-05-02,182021.44,2425447.85,213003.7333333333
2022-05-09,75169.09,2500616.94,148353.07666666666
2022-05-16,97202.32,2597819.26,118130.95
2022-05-23,155225.28,2753044.5399999996,109198.89666666667
2022-05-30,118254.72,2871299.26,123560.77333333333
2022-06-06,138207.63,3009506.8899999997,137229.21
2022-06-13,88692.68,3098199.57,115051.67666666668
2022-06-20,110069.95,3208269.52,112323.42
2022-06-27,158742.98,3367012.5,119168.53666666667
2022-07-04,170071.03,3537083.53,146294.65333333332
2022-07-11,105852.26,3642935.7899999996,144888.75666666665
2022-07-18,156565.24,3799501.0299999993,144162.84333333332
2022-07-25,231648.91,4031149.9399999995,164688.80333333334
2022-08-01,204809.36,4235959.3,197674.50333333333
2022-08-08,128426.02,4364385.319999999,188294.76333333334
2022-08-15,171656.4,4536041.72,168297.25999999998
2022-08-22,136698.1,4672739.819999999,145593.50666666668
2022-08-29,221959.34,4894699.159999999,176771.28000000003
2022-09-05,146894.46,5041593.619999999,168517.30000000002
2022-09-12,218666.39,5260260.009999999,195840.06333333335
2022-09-19,130451.43,5390711.439999999,165337.42666666667
2022-09-26,252301.53,5643012.969999999,200473.1166666667
2022-10-03,115599.24,5758612.209999999,166117.4
2022-10-10,165789.64,5924401.849999999,177896.80333333334
2022-10-17,248146.64,6172548.489999998,176511.84
2022-10-24,288330.74,6460879.229999999,234089.00666666668
2022-10-31,115938.97,6576818.199999998,217472.11666666667
2022-11-07,143271.56,6720089.759999998,182513.75666666668
2022-11-14,461884.88,7181974.639999998,240365.1366666667
2022-11-21,395571.72,7577546.359999998,333576.05333333334
2022-11-28,221561.01,7799107.369999997,359672.5366666666
2022-12-05,217509.11,8016616.479999998,278213.94666666666
2022-12-12,235979.33,8252595.809999998,225016.4833333333
2022-12-19,232519.38,8485115.189999998,228669.27333333332
2022-12-26,335956.17,8821071.359999998,268151.62666666665
2023-01-02,109664.78,8930736.139999997,226046.7766666667
2023-01-09,55889.81,8986625.949999997,167170.25333333333
2023-01-16,206040.92,9192666.869999997,123865.17
2023-01-23,75416.7,9268083.569999997,112449.14333333333
2023-01-30,162944.44,9431028.009999996,148134.02
2023-02-06,139454.32,9570482.329999996,125938.48666666665
2023-02-13,158871.59,9729353.919999996,153756.78333333333
2023-02-20,113293.08,9842646.999999996,137206.33
2023-02-27,56397.23,9899044.229999997,109520.63333333332
2023-03-06,69717.78,9968762.009999996,79802.69666666666
2023-03-13,173531.58,10142293.589999996,99882.19666666666
2023-03-20,114604.22,10256897.809999997,119284.52666666666
2023-03-27,71477.7,10328375.509999996,119871.16666666663
2023-04-03,127596.34,10455971.849999996,104559.41999999998
2023-04-10,168980.17,10624952.019999996,122684.73666666665
2023-04-17,86178.0,10711130.019999996,127584.83666666663
2023-04-24,99916.93,10811046.949999996,118358.36666666665
2023-05-01,169886.06,10980933.009999996,118660.32999999996
2023-05-08,202637.13,11183570.139999997,157480.03999999995
2023-05-15,63948.42,11247518.559999997,145490.53666666665
2023-05-22,237026.13,11484544.689999998,167870.55999999997
2023-05-29,181163.45,11665708.139999997,160712.66666666666
2023-06-05,161572.62,11827280.759999996,193254.06666666665
2023-06-12,163163.64,11990444.399999997,168633.23666666666
2023-06-19,250871.23,12241315.629999997,191869.16333333333
2023-06-26,188185.27,12429500.899999997,200740.04666666663
2023-07-03,325384.67,12754885.569999997,254813.7233333333
2023-07-10,304918.43,13059803.999999996,272829.4566666666
2023-07-17,246442.8,13306246.799999997,292248.6333333333
2023-07-24,372859.99,13679106.789999997,308073.74
2023-07-31,174658.5,13853765.289999997,264653.7633333333
2023-08-07,394351.5,14248116.789999997,313956.66333333333
2023-08-14,294436.97,14542553.759999998,287815.6566666667
2023-08-21,336632.36,14879186.119999997,341806.9433333333
2023-08-28,354095.82,15233281.939999998,328388.3833333333
2023-09-04,454514.11,15687796.049999997,381747.42999999993
2023-09-11,362772.62,16050568.669999996,390460.85000000003
2023-09-18,346364.42,16396933.089999996,387883.7166666666
2023-09-25,328040.9,16724973.989999996,345725.98
2023-10-02,252270.52,16977244.509999998,308891.94666666666
2023-10-09,488836.06,17466080.569999997,356382.49333333335
2023-10-16,458492.21,17924572.779999997,399866.26333333337
2023-10-23,326093.32,18250666.099999998,424473.8633333333
2023-10-30,351762.02,18602428.119999997,378782.5166666666
2023-11-06,490702.05,19093130.169999998,389519.12999999995
2023-11-13,418771.25,19511901.419999998,420411.77333333326
2023-11-20,471438.53,19983339.95,460303.9433333333
2023-11-27,288898.71,20272238.66,393036.1633333333
2023-12-04,420767.11,20693005.77,393701.44999999995
2023-12-11,622790.64,21315796.41,444152.1533333333
2023-12-18,377915.41,21693711.82,473824.38666666666
2023-12-25,541487.51,22235199.330000002,514064.52
2024-01-01,528287.29,22763486.62,482563.4033333333
2024-01-08,667865.3,23431351.92,579213.3666666667
2024-01-15,445977.54,23877329.46,547376.7100000001
2024-01-22,516184.86,24393514.32,543342.5666666667
2024-01-29,415631.72,24809146.04,459264.7066666666
2024-02-05,485927.27,25295073.31,472581.28333333327
2024-02-12,501443.49,25796516.799999997,467667.49333333335
2024-02-19,580192.85,26376709.65,522521.20333333337
2024-02-26,468660.63,26845370.279999997,516765.65666666673
2024-03-04,429275.77,27274646.049999997,492709.75
2024-03-11,444433.01,27719079.06,447456.47000000003
2024-03-18,644647.94,28363727.0,506118.9066666667
2024-03-25,491616.83,28855343.83,526899.26
2024-04-01,567525.15,29422868.979999997,567929.9733333333
2024-04-08,471863.76,29894732.74,510335.24666666664
2024-04-15,464111.63,30358844.369999997,501166.8466666667
2024-04-22,477722.95,30836567.319999997,471232.78
2024-04-29,629001.49,31465568.809999995,523612.0233333334
2024-05-06,593999.75,32059568.559999995,566908.0633333334
2024-05-13,622346.78,32681915.339999996,615116.0066666667
2024-05-20,641235.68,33323151.019999996,619194.07
2024-05-27,698909.26,34022060.279999994,654163.9066666667
2024-06-03,871776.3,34893836.57999999,737307.0800000001
2024-06-10,989839.2,35883675.779999994,853508.2533333333
2024-06-17,804631.32,36688307.099999994,888748.9400000001
2024-06-24,783601.94,37471909.03999999,859357.4866666667
2024-07-01,478737.1,37950646.13999999,688990.12
2024-07-08,448121.4,38398767.53999999,570153.48
2024-07-15,394592.24,38793359.779999994,440483.58
2024-07-22,452783.99,39246143.769999996,431832.5433333333
2024-07-29,331300.94,39577444.70999999,392892.38999999996
2024-08-05,365583.18,39943027.88999999,383222.7033333333
2024-08-12,398045.59,40341073.48,364976.57
2024-08-19,582793.3,40923866.779999994,448807.3566666667
2024-08-26,410389.4,41334256.17999999,463742.76333333337
2024-09-02,615788.75,41950044.92999999,536323.8166666667
2024-09-09,321967.56,42272012.489999995,449381.9033333333
2024-09-16,353010.82,42625023.309999995,430255.70999999996
2024-09-23,687330.88,43312354.19,454103.0866666666
2024-09-30,535171.72,43847525.91,525171.14
2024-10-07,284069.16,44131595.06999999,502190.58666666667
2024-10-14,357683.2,44489278.269999996,392308.0266666666
2024-10-21,488656.96,44977935.23,376803.10666666663
2024-10-28,633224.47,45611159.699999996,493188.20999999996
2024-11-04,590593.71,46201753.41,570825.0466666665
2024-11-11,499364.79,46701118.199999996,574394.3233333332
2024-11-18,576483.34,47277601.54,555480.6133333332
2024-11-25,384931.64,47662533.18,486926.58999999985
2024-12-02,557193.64,48219726.82,506202.87333333323
2024-12-09,423670.74,48643397.56,455265.3399999999
2024-12-16,472073.47,49115471.03,484312.6166666665
2024-12-23,871291.3,49986762.33,589011.8366666666
2024-12-30,170525.92,50157288.25,504630.2299999999
