booking_id,destination_id,booking_date,travel_start_date,travel_end_date,price_per_person,total_price,duration_hrs,number_of_participants
4,18,2/20/2022,4/11/2022,4/12/2022,177.7766667,533.33,24,3
5,6,4/21/2022,6/5/2022,6/7/2022,183.81875,1470.55,68,8
7,25,2/1/2022,3/26/2022,3/26/2022,84.63142857,592.42,9,7
8,30,4/28/2022,6/26/2022,6/26/2022,99.632,498.16,7,5
11,26,4/23/2022,5/23/2022,5/24/2022,1241.95,1241.95,39,1
18,4,3/28/2022,5/27/2022,5/28/2022,82.608,413.04,26,5
19,2,2/28/2022,4/16/2022,4/16/2022,348.974,1744.87,6,5
24,22,2/2/2022,3/23/2022,3/25/2022,187.655,375.31,66,2
29,2,4/28/2022,6/7/2022,6/8/2022,104.08,312.24,42,3
36,25,2/11/2022,3/22/2022,3/23/2022,144.865,579.46,24,4
41,7,3/29/2022,5/10/2022,5/12/2022,1167.73,1167.73,54,1
44,4,4/7/2022,5/17/2022,5/19/2022,327.944,1639.72,59,5
45,23,2/19/2022,4/20/2022,4/21/2022,179.152,895.76,29,5
46,5,4/28/2022,6/25/2022,6/26/2022,291.43,291.43,26,1
50,2,3/18/2022,5/12/2022,5/14/2022,881.36,1762.72,56,2
52,29,3/28/2022,5/12/2022,5/13/2022,1254.99,1254.99,46,1
54,16,2/21/2022,3/26/2022,3/28/2022,321.9275,1287.71,56,4
56,20,4/27/2022,6/4/2022,6/4/2022,1296.08,1296.08,20,1
57,5,2/12/2022,3/26/2022,3/26/2022,69.87333333,419.24,21,6
58,10,2/4/2022,3/19/2022,3/20/2022,401.11,401.11,26,1
59,4,4/14/2022,6/13/2022,6/13/2022,269.73,1078.92,19,4
68,25,2/13/2022,3/26/2022,3/27/2022,91.37166667,548.23,25,6
80,15,2/21/2022,4/13/2022,4/15/2022,77.83166667,466.99,53,6
84,7,4/6/2022,5/11/2022,5/11/2022,1108.91,1108.91,1,1
90,24,2/21/2022,3/29/2022,3/31/2022,254.115,508.23,58,2
95,10,2/23/2022,4/14/2022,4/16/2022,372.19,372.19,66,1
97,5,2/19/2022,3/21/2022,3/23/2022,105.086,525.43,60,5
99,9,3/12/2022,5/9/2022,5/9/2022,48.95,244.75,15,5
100,2,3/22/2022,5/16/2022,5/16/2022,184.625,738.5,16,4
105,9,3/6/2022,4/6/2022,4/8/2022,136.76375,1094.11,57,8
109,30,2/22/2022,4/22/2022,4/24/2022,1600.1,1600.1,56,1
111,13,4/22/2022,6/12/2022,6/14/2022,1341.99,1341.99,50,1
114,10,2/5/2022,3/11/2022,3/11/2022,1693.46,1693.46,4,1
117,25,4/3/2022,5/10/2022,5/12/2022,210.585,842.34,49,4
121,17,3/13/2022,5/8/2022,5/10/2022,239.4783333,1436.87,55,6
122,29,4/2/2022,5/20/2022,5/22/2022,380.1475,1520.59,48,4
127,23,3/10/2022,4/18/2022,4/20/2022,1938.42,1938.42,67,1
132,20,3/8/2022,4/11/2022,4/13/2022,1295.24,1295.24,65,1
134,5,3/12/2022,4/22/2022,4/23/2022,595.58,595.58,38,1
136,22,3/7/2022,4/28/2022,4/30/2022,1703.63,1703.63,68,1
137,15,4/26/2022,6/21/2022,6/21/2022,189.71375,1517.71,18,8
139,24,4/21/2022,5/21/2022,5/23/2022,216.3166667,648.95,49,3
147,24,2/21/2022,4/13/2022,4/14/2022,1515.1,1515.1,25,1
148,17,2/18/2022,3/22/2022,3/22/2022,1358.75,1358.75,13,1
150,9,3/26/2022,5/20/2022,5/21/2022,522.73,522.73,25,1
154,25,2/1/2022,3/29/2022,3/29/2022,1835.86,1835.86,23,1
158,3,2/9/2022,3/25/2022,3/26/2022,216.2071429,1513.45,46,7
159,21,3/10/2022,4/13/2022,4/15/2022,548.41,548.41,71,1
164,22,2/12/2022,3/28/2022,3/28/2022,1265.78,1265.78,18,1
166,21,4/23/2022,6/17/2022,6/17/2022,129.98,779.88,3,6
167,12,3/1/2022,4/23/2022,4/23/2022,1707.79,1707.79,5,1
190,4,4/26/2022,6/14/2022,6/16/2022,1070.03,1070.03,62,1
196,14,4/29/2022,6/27/2022,6/27/2022,407.135,814.27,3,2
197,2,3/26/2022,5/3/2022,5/5/2022,425.81,425.81,66,1
209,17,4/23/2022,6/22/2022,6/24/2022,57.30333333,171.91,58,3
210,21,4/20/2022,5/20/2022,5/20/2022,97.60857143,683.26,4,7
213,17,4/27/2022,5/29/2022,5/29/2022,208.9683333,1253.81,4,6
216,30,4/13/2022,6/11/2022,6/11/2022,249.425,997.7,10,4
220,8,4/16/2022,5/16/2022,5/17/2022,176.7,1413.6,45,8
230,23,4/12/2022,6/10/2022,6/10/2022,20.876,104.38,8,5
232,19,2/5/2022,3/9/2022,3/10/2022,1519.36,1519.36,27,1
236,2,2/19/2022,4/1/2022,4/3/2022,1050.88,1050.88,51,1
244,22,3/30/2022,5/28/2022,5/29/2022,253.9216667,1523.53,32,6
247,17,4/27/2022,6/11/2022,6/11/2022,324.57,324.57,12,1
248,22,3/14/2022,5/9/2022,5/10/2022,202.94375,1623.55,43,8
250,3,2/1/2022,3/26/2022,3/26/2022,1196.48,1196.48,19,1
258,4,4/24/2022,5/24/2022,5/25/2022,1372.18,1372.18,41,1
